# 11286 TypeInfoData record candidates (name ptr + plausible size/flags)
# 2081 registration sites found in code

## Constructors called (address: registrations)
  FFFFFFFF89F38245: 1
  FFFFFFFF932731BC: 1
  FFFFFFFFB327319C: 1
  FFFFFFFFBA3B887E: 1
  FFFFFFFFBA3B9133: 1
  FFFFFFFFBA3BD136: 1
  FFFFFFFFBA3BE42F: 1
  FFFFFFFFBA3C9329: 1
  FFFFFFFFBA3DB70B: 1
  FFFFFFFFBA3E7E7F: 1
  FFFFFFFFBA3F25F0: 1
  FFFFFFFFBA3F9073: 1
  FFFFFFFFBA3F9445: 1
  FFFFFFFFBA3FFF52: 1
  FFFFFFFFBA4039A7: 1
  FFFFFFFFBA408E88: 1
  FFFFFFFFBA40ED96: 1
  FFFFFFFFBA4150F8: 1
  FFFFFFFFBA41A390: 1
  FFFFFFFFC1F38275: 1
  FFFFFFFFC427317B: 1
  FFFFFFFFE93A794E: 1
  FFFFFFFFE93B2FD0: 1
  FFFFFFFFE93B890C: 1
  FFFFFFFFE93C3D94: 1
  FFFFFFFFE93D502C: 1
  FFFFFFFFE93DDCDA: 1
  FFFFFFFFE93E2E73: 1
  FFFFFFFFE93E3937: 1
  FFFFFFFFE93E5DCD: 1
  FFFFFFFFE93EA06E: 1
  FFFFFFFFE93EED3B: 1
  FFFFFFFFE93F916C: 1
  FFFFFFFFE93F9422: 1
  FFFFFFFFE94039E1: 1
  FFFFFFFFE9408FA6: 1
  FFFFFFFFE9410847: 1
  FFFFFFFFE9412B7E: 1
  FFFFFFFFE9416156: 1
  FFFFFFFFE941A6FB: 1
  FFFFFFFFF427314B: 1
  FFFFFFFFF9F382A5: 1
  00000000: 817
  0043C390: 273
  00500880: 941
  14227D2A: 1
  2427311B: 1
  31F382D5: 1
  3DF381F5: 1
  53227CFB: 1
  693A79A4: 1
  693F9195: 1
  73227CDB: 1

## Record layout by flags byte (count, of which followed by a pointer into .data)
  flags 0x00: 632 records, 0 with trailing pointer
  flags 0x29: 281 records, 281 with trailing pointer
  flags 0x35: 960 records, 0 with trailing pointer
  flags 0x48: 208 records, 0 with trailing pointer

## Registrations (site  record  object  ctor  size  flags  module  misc  extra  name)
013A7D9F  01BFE660  01BFEAE8  FFFFFFFFE93C3D94     36  0x35  01517300  00010404     -      AnimatedSoldierRagdollSettingsData
013AEE2F  01C00208  01C002FC  00500880     96  0x35  01517300  00010810     -      AnimatedWaypointData
013AA6D0  01C23000  00000000  00000000      0  0x00  01C06F44  00000000     -      Animation
013AA730  01C22D30  00000000  00000000      0  0x00  01C06F44  00000000     -      Animation
013B24A0  01C26D08  00000000  00000000      0  0x00  01C06F44  00000000     -      Animation
013D3900  01C34DC0  00000000  00000000      0  0x00  01C07EE4  00000000     -      Animation
013D5920  01C35138  00000000  00000000      0  0x00  01C07EE4  00000000     -      Animation
013D72C0  01C35AF8  00000000  00000000      0  0x00  01C06F0C  00000000     -      Animation
013D2A4F  01C06C64  01C06F44  00500880     32  0x35  015175E0  00010104     -      AnimationAsset
013F46BF  01C0EB1C  01C0ED40  00500880     36  0x35  0153DF24  00010104     -      AnimationControlledStateData
013CE8CF  01C065BC  01C066C4  00500880     44  0x35  015173E0  00010204     -      AnimationControllerAsset
013AEDFF  01C001F0  01C002C4  00500880    128  0x35  01517300  00010C10     -      AnimationData
0139CB4F  01BFBB60  01BFC524  00500880    144  0x35  01517300  00010410     -      AnimationEntityData
013D29EF  01C06C34  01C06ED4  00500880     60  0x35  015175E0  00010904     -      AnimationExportQuality
01401AC0  01C47EA0  00000000  00000000      0  0x00  01BF13A4  00000000     -      AnimationFrame
013CE8A0  01C065A0  01C066B0  0043C390     20  0x29  015173E0  00010104  01C33B18  AnimationGroupData
013CE8C0  01C33BA8  00000000  00000000      0  0x48  01BF12DC  01C066B0     -      AnimationGroups
013AEE20  01C25B50  00000000  00000000      0  0x00  01BF13B4  00000000     -      AnimationIndex
013AEE5F  01C00220  01C00334  00500880     44  0x35  01517300  00010104     -      AnimationMovementAsset
013D72CF  01C07E64  01C08024  00500880    136  0x35  015175E0  00010D04     -      AnimationNodeData
013CEB40  01C06798  01C067B4  0043C390      6  0x29  015175E0  00010601  01C33C20  AnimationSettings
013B8F20  01C01F18  01C02218  0043C390     28  0x29  01517300  00010204  01C2B1D8  AnimationSoundCategoryData
013B8F00  01C01EFC  01C02204  0043C390      8  0x29  01517300  00010204  01C2AEF0  AnimationSoundData
013B8F6F  01C01F50  01C02240  00500880     40  0x35  01517300  00010104     -      AnimationSoundMapData
01401A90  01C47E88  00000000  00000000      0  0x00  01BF13E4  00000000     -      AnimationSpeed
013AEDB0  01C001B8  01C00298  0043C390     16  0x29  01517300  00010404  01C259D0  AnimationStateData
013AEE50  01C259B8  00000000  00000000      0  0x48  01BF12DC  01C002C4     -      Animations
013F2C2F  01C0E19C  01C0E4D0  00500880     20  0x35  0153DF24  00010204     -      AntiRollBar
013F2C50  01C0E1B4  01C0E508  0043C390      8  0x29  0153DF24  00010204  01C3F398  AntiRollBars
013C70B0  01C04604  01C04A9C  0043C390      8  0x29  01517300  00010204  01C2F150  AntiSpamConfig
013B09E0  01C261F8  00000000  00000000      0  0x48  01BF12DC  01C0CAC8     -      Area
013B0AD0  01C25E98  00000000  00000000      0  0x48  01BF12DC  01C0CAC8     -      Area
